"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"Il Forno","Pizza",,"high",,"29.4084488,-98.5046345","https://maps.google.com/maps?q=+%4029.4084488,-98.5046345","https://www.google.com/maps/place/Il+Forno/data=!4m2!3m1!1s0x865c58b940a49b43:0xcfc6a1540bf02126"
"India Oven","Indian",,"high",,"29.5454004,-98.5148553","https://maps.google.com/maps?q=+%4029.5454004,-98.5148553","https://www.google.com/maps/place/India+Oven/data=!4m2!3m1!1s0x865c604403450d0d:0x36c35bb8a06fb449"
"India Taj Palace","Indian",,"low",,"29.6275613,-98.4962488","https://maps.google.com/maps?q=+%4029.6275613,-98.4962488","https://www.google.com/maps/place/India+Taj+Palace/data=!4m2!3m1!1s0x865c620dc6d3461d:0x9677227ed449c49b"
"Iron Cactus","Mexican",,"low",,"29.4250659,-98.4934119","https://maps.google.com/maps?q=+%4029.4250659,-98.4934119","https://www.google.com/maps/place/Iron+Cactus+Mexican+Restaurant+and+Margarita+Bar/data=!4m2!3m1!1s0x865c58ab10256021:0xe4ccdb2ad45c0b6"
"J's Eatery","Soul",,"medium",,"29.4287763,-98.4634687","https://maps.google.com/maps?q=+%4029.4287763,-98.4634687","https://www.google.com/maps/place/J's+Eatery/data=!4m2!3m1!1s0x865cf75524277acf:0x32a2a89dff57934d"
"JINYA Ramen","Japanese / Ramen","✓","medium",,"29.593412,-98.5927338","https://maps.google.com/maps?q=+%4029.593412,-98.5927338","https://www.google.com/maps/place/JINYA+Ramen+Bar+-+San+Antonio/data=!4m2!3m1!1s0x865c67b02b650bfd:0xf34066e403e9495a"
"Jerusalem Grill","Mediterranean",,"medium",,"29.6098152,-98.498398","https://maps.google.com/maps?q=+%4029.6098152,-98.498398","https://www.google.com/maps/place/Jerusalem+Grill/data=!4m2!3m1!1s0x865c621d5a7359a9:0x699a5d7bb6bef9d8"
"John The Greek","Mediterranean",,"low",,"29.5920228,-98.4738097","https://maps.google.com/maps?q=+%4029.5920228,-98.4738097","https://www.google.com/maps/place/John+The+Greek+Restaurant/data=!4m2!3m1!1s0x865c8a1204e2d7cb:0xcc2d2f8af3ebf05"
"Julian's Italian Pizzeria","Pizza",,"low",,"29.4895746,-98.4614357","https://maps.google.com/maps?q=+%4029.4895746,-98.4614357","https://www.google.com/maps/place/Julian's+Italian+Pizzeria+%26+Kitchen/data=!4m2!3m1!1s0x865cf51397565bf7:0x1acd23bd80d4b759"
"KPOT Korean BBQ & Hot Pot","Korean BBQ",,"medium",,"29.5570556,-98.5900824","https://maps.google.com/maps?q=+%4029.5570556,-98.5900824","https://www.google.com/maps/place/KPOT+Korean+BBQ+%26+Hot+Pot/data=!4m2!3m1!1s0x865c67c0eb8c118f:0xe6d672e5de6db1f"
"Kahramana","Mediterranean",,"low",,"29.5181262,-98.5655171","https://maps.google.com/maps?q=+%4029.5181262,-98.5655171","https://www.google.com/maps/place/Kahramana+Mediterranean+Grill/data=!4m2!3m1!1s0x865c67b4be0b4bf5:0x765add5d4c87dcd5"
"Kerbey Lane Cafe","Brunch",,"low",,"29.5921344,-98.5968906","https://maps.google.com/maps?q=+%4029.5921344,-98.5968906","https://www.google.com/maps/place/Kerbey+Lane+Cafe/data=!4m2!3m1!1s0x865c679b1d2fd2b9:0x730d6d370a1a9413"
"Kettle & Wok","Chinese",,"low",,"29.5319366,-98.4870144","https://maps.google.com/maps?q=+%4029.5319366,-98.4870144","https://www.google.com/maps/place/Kettle+%26+Wok/data=!4m2!3m1!1s0x865c61724cf8a62b:0x3261888173a98a81"
